Time sync: 962 ms
--------------------------------------------------
RTP TS: 406530601, Frame Size: 28807, Encode 4, Net 14, Wait 11, Decode 5 E2E 34 
P: seq 21028, size 963, send_delta 0, trans_delta 1, recv_delta 1
P: seq 21029, size 963, send_delta 1, trans_delta 1, recv_delta 2
P: seq 21030, size 963, send_delta 1, trans_delta 1, recv_delta 2
P: seq 21031, size 963, send_delta 2, trans_delta 1, recv_delta 3
P: seq 21032, size 856, send_delta 2, trans_delta 1, recv_delta 3
P: seq 21033, size 856, send_delta 2, trans_delta 1, recv_delta 3
P: seq 21034, size 857, send_delta 2, trans_delta 1, recv_delta 3
P: seq 21035, size 1017, send_delta 2, trans_delta 2, recv_delta 4
P: seq 21036, size 1017, send_delta 2, trans_delta 3, recv_delta 5
P: seq 21037, size 1018, send_delta 3, trans_delta 2, recv_delta 5
P: seq 21038, size 1197, send_delta 3, trans_delta 3, recv_delta 6
P: seq 21039, size 1197, send_delta 3, trans_delta 4, recv_delta 7
P: seq 21040, size 1197, send_delta 3, trans_delta 4, recv_delta 7
P: seq 21041, size 1015, send_delta 3, trans_delta 4, recv_delta 7
P: seq 21042, size 1015, send_delta 4, trans_delta 4, recv_delta 8
P: seq 21043, size 1016, send_delta 4, trans_delta 4, recv_delta 8
P: seq 21044, size 1016, send_delta 5, trans_delta 3, recv_delta 8
P: seq 21045, size 935, send_delta 5, trans_delta 3, recv_delta 8
P: seq 21046, size 936, send_delta 5, trans_delta 3, recv_delta 8
P: seq 21047, size 936, send_delta 6, trans_delta 3, recv_delta 9
P: seq 21048, size 936, send_delta 6, trans_delta 3, recv_delta 9
P: seq 21049, size 1166, send_delta 6, trans_delta 5, recv_delta 11
P: seq 21050, size 1166, send_delta 6, trans_delta 5, recv_delta 11
P: seq 21051, size 1166, send_delta 6, trans_delta 5, recv_delta 11
P: seq 21052, size 1167, send_delta 7, trans_delta 5, recv_delta 12
P: seq 21053, size 998, send_delta 7, trans_delta 5, recv_delta 12
P: seq 21054, size 998, send_delta 7, trans_delta 6, recv_delta 13
P: seq 21055, size 999, send_delta 7, trans_delta 6, recv_delta 13
P: seq 21056, size 999, send_delta 7, trans_delta 6, recv_delta 13
RTP TS: 406532221, Frame Size: 36516, Encode 5, Net 17, Wait 11, Decode 6 E2E 39 
P: seq 21057, size 1049, send_delta 0, trans_delta 2, recv_delta 2
P: seq 21058, size 1049, send_delta 1, trans_delta 1, recv_delta 2
P: seq 21059, size 1049, send_delta 2, trans_delta 0, recv_delta 2
P: seq 21060, size 1050, send_delta 2, trans_delta 0, recv_delta 2
P: seq 21061, size 1050, send_delta 2, trans_delta 2, recv_delta 4
P: seq 21062, size 1013, send_delta 2, trans_delta 2, recv_delta 4
P: seq 21063, size 1014, send_delta 2, trans_delta 3, recv_delta 5
P: seq 21064, size 1014, send_delta 3, trans_delta 2, recv_delta 5
P: seq 21065, size 963, send_delta 3, trans_delta 2, recv_delta 5
P: seq 21066, size 963, send_delta 3, trans_delta 2, recv_delta 5
P: seq 21067, size 963, send_delta 3, trans_delta 2, recv_delta 5
P: seq 21068, size 963, send_delta 3, trans_delta 4, recv_delta 7
P: seq 21069, size 1166, send_delta 4, trans_delta 3, recv_delta 7
P: seq 21070, size 1166, send_delta 4, trans_delta 4, recv_delta 8
P: seq 21071, size 1167, send_delta 4, trans_delta 4, recv_delta 8
P: seq 21072, size 1167, send_delta 4, trans_delta 4, recv_delta 8
P: seq 21073, size 1030, send_delta 4, trans_delta 5, recv_delta 9
P: seq 21074, size 1031, send_delta 5, trans_delta 5, recv_delta 10
P: seq 21075, size 1031, send_delta 6, trans_delta 4, recv_delta 10
P: seq 21076, size 1031, send_delta 6, trans_delta 4, recv_delta 10
P: seq 21077, size 1031, send_delta 6, trans_delta 5, recv_delta 11
